,customer_unique_id,product_id,review_score
0,861eff4711a542e4b93843c6dd7febb0,a9516a079e37a9c9c36b9b78b10169e8,4
9,9afe194fb833f79e300e37e580171f22,78efe838c04bbc568be034082200ac20,5
18,7f3a72e8f988c6e735ba118d54f47458,99a4788cb24856965c36a24e339b6058,3
20,e607ede0e63436308660236f5a52da5e,130482add9fd75ccb6c57ba007694a2d,5
21,a96d5cfa0d3181817e2b946f921ea021,368c6c730842d78016ad823897a372db,1
22,a96d5cfa0d3181817e2b946f921ea021,368c6c730842d78016ad823897a372db,1
23,a96d5cfa0d3181817e2b946f921ea021,368c6c730842d78016ad823897a372db,1
26,a5844ba4bfc8d0cc61d13027c7e63bcc,777d2e438a1b645f3aec9bd57e92672c,4
30,4d221875624017bc47b4d1ce7314a5b7,ee0c1cf2fbeae95205b4aa506f1469f0,2
32,424aca6872c5bab80780a8dec03b7516,422879e10f46682990de24d770e7f83d,4
33,bf4862777db128507e9efcc789215e9b,389d119b48cf3043d311335e499d9c6b,5
41,07d190f123147d9e89d4b922543d7948,8ed094bfe076c568f6bb10feada3f75d,1
43,86085586aaa8c5f47ed0b400da64c59d,a92930c327948861c015c919a0bcb4a8,5
44,5ad58a4e6a1a656b6bed070cadbaa003,fb55982be901439613a95940feefd9ee,5
56,d33eeadf54cb883e79be640f38c32cdc,3dd2a17168ec895c781a9191c1e95ad7,4
68,c80da60feddb7cf8325bd104032e314a,3fbc0ef745950c7932d5f2a446189725,1
69,a2b8841410cf77619574d311cd06fd5e,a02d0123079f4ae96001ba2010d1a2df,5
71,0c17f9ac28cbd7323f0f4043e9db5907,461f43be3bdf8844e65b62d9ac2c7a5a,1
72,332cf4e83e16004ba7dca932ce82475b,aba86c093ccdbac75b09111d57e50004,4
80,d4397835ae287e492b186d497099439a,437c05a395e9e47f9762e677a7068ce7,5
90,e5dbefdfdf3eff75c8e6cd655f128279,5a848e4ab52fd5445cdc07aab1c40e48,1
94,6edd17d0a29e2d4057e694afee5eaa3b,bb50f2e236e5eea0100680137654686c,4
