,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
0,3.5408093820455755,3.5303623696523645,3.5309642625802584,3.534045338092733,0.004789209170705397,57,3.065248544990038,3.0572254728098165,3.0579583602313214,3.060144126010392,0.0036217491936887673,53,1.3583356539408367,0.021853265017767246,1.4560139973958333,0.18877809629090733,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.02}",5,5,0.002,0.02
1,3.5585065041873407,3.5484053604182852,3.5481043444995417,3.551672069701723,0.004834237182120139,63,3.120474546156035,3.113620838294376,3.113049899747375,3.1157150947325953,0.0033735022449647187,65,1.2699288527170818,0.0035733072988054057,1.581701676050822,0.1543466318749484,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.4}",5,5,0.002,0.4
2,3.570721313257632,3.561036033443658,3.5602396199684274,3.563998988889906,0.00476450782939689,67,3.1521363392853896,3.1459336383249057,3.1448462916277817,3.1476387564126918,0.0032111025606502033,69,1.2463433742523193,0.0013733258397490673,1.4632995923360188,0.16613733178943085,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.6}",5,5,0.002,0.6
3,3.4710491401260577,3.463845128428237,3.463727093815233,3.466207120789843,0.003424163789080762,22,2.971363754980689,2.96267167453433,2.962766627584374,2.9656006856997976,0.004075289737977093,16,1.2608063220977783,0.0162579141234417,1.6150829792022705,0.1393377533913711,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",5,5,0.005,0.02
4,3.494313260209163,3.485793010356095,3.484938634547069,3.488348301704109,0.004232259993669634,41,3.047592449671669,3.039446700066431,3.0386190771085047,3.041886075615535,0.0040491372407392996,41,1.3185214201609294,0.12669175269149144,1.4591585795084636,0.1723956839686196,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.4}",5,5,0.005,0.4
5,3.5105564389011428,3.5018600869603524,3.50074567651278,3.504387400791425,0.004385829534670145,49,3.087088421342938,3.0795714098084455,3.0783311815755274,3.08166367090897,0.003869149731793446,57,1.2489882310231526,0.004416794202564628,1.4731849829355876,0.21797874311012227,"{'n_factors': 5, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.6}",5,5,0.005,0.6
6,3.4863170386507893,3.4776737533792015,3.478081359070329,3.48069071703344,0.00398188873159876,32,2.990293149205944,2.981139820224709,2.9828620062083733,2.9847649918796755,0.0039717228594624895,21,2.4679057598114014,0.0026821598896190316,1.4295636812845867,0.1867680040281009,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.02}",5,10,0.002,0.02
7,3.508242359012691,3.499131089976595,3.498813007938948,3.5020621523094113,0.004371994984528823,45,3.0604498504104476,3.052703708023233,3.052879512664518,3.0553443570327325,0.0036108423569753694,49,2.511666695276896,0.04987759072268135,1.5492407480875652,0.17258767308238238,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.4}",5,10,0.002,0.4
8,3.5237281564633576,3.514667807988262,3.514079112648864,3.517491692366828,0.004416390220616471,53,3.098273475526489,3.0912687334472175,3.090820713298929,3.0934543074242122,0.003412571504679185,61,2.456016937891642,0.01230163205320588,1.3857263724009197,0.07902109624896554,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.6}",5,10,0.002,0.6
9,3.453904127192828,3.4476568603512567,3.4467501503900446,3.449437045978043,0.0031803188176714715,5,2.918902532307754,2.9096003497520053,2.910876814559401,2.91312656553972,0.004117336087019058,1,2.470945676167806,0.02326274702758637,1.3897504806518555,0.18976798805164832,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",5,10,0.005,0.02
