n_users,image_based,data_based,mixed_model
20.0,2.688759210749679,1.5737019563634653,1.3959191121857841
200.0,1.695133871008702,0.5758361266561624,3.882281781466906
500.0,0.3302451908003626,0.3729104678348351,0.31605299941886056
1000.0,0.2640268587330907,0.3327467432172038,0.3536491518172859
1500.0,0.2723152731472375,0.26903618149336134,0.26874096722378005
2000.0,0.27222464774687954,0.26954235878963184,0.2531818242926121
2200.0,0.2712675008335433,0.26939387838771145,0.2648232718463223
2500.0,0.26457966831402907,0.2532526985623279,0.2542478646496583
3300.0,0.2734915373320411,0.24661962103016274,0.23633548581478786
3382.0,0.2594971970043777,0.24567262344977261,0.22675175512571008
